Abies	Alnus	Betula	Carpinus	Castanea	Cedrus	Corylus	Ephedra	Fagus	Juniperus	Larix	Olea	Ostrya	Phillyrea	Picea	Pinus.D	Pinus.H	Pistacia	Quercus.D	Quercus.E	Salix	Tilia	Ulmus	Artemisia	Chenopodiaceae	Cyperaceae	Ericales.	Gramineae	
2	0	1	0	0	0	23	0	8	0	0	0	2	7	0	4	0	0	129	0	0	2	30	1	2	1	0	18	
0	1	1	0	0	0	19	0	8	0	0	0	0	0	0	6	0	0	180	0	5	5	28	0	8	0	0	21	
0	1	3	0	0	0	36	0	6	0	0	0	0	12	0	3	0	0	148	3	7	3	23	0	2	3	0	16	
1	1	5	0	0	0	24	0	5	0	0	0	1	13	0	0	0	0	155	0	4	4	27	1	7	0	0	20	
0	2	4	0	0	0	14	0	14	1	0	0	0	0	0	4	0	0	273	0	6	2	18	0	9	2	1	39	
1	2	0	0	0	0	47	0	3	0	0	0	1	7	0	1	0	0	183	3	1	2	27	0	1	0	0	29	
0	2	5	0	0	0	8	0	9	0	0	0	0	0	0	3	0	0	197	0	7	4	27	3	6	0	0	23	
0	2	2	0	0	0	32	0	10	0	0	0	2	1	0	4	0	0	163	0	1	4	29	3	2	2	0	23	
0	2	6	0	0	0	20	0	4	1	0	0	0	0	0	4	0	0	195	0	6	7	11	3	2	0	0	42	
1	7	3	3	0	0	27	0	9	0	0	0	5	5	0	3	0	0	172	0	6	2	19	1	4	2	0	24	
0	0	4	0	1	0	1	0	6	3	0	2	0	0	0	5	0	0	207	0	2	5	4	5	2	8	0	62	
0	1	14	0	0	0	1	0	2	0	0	0	0	0	0	10	0	0	200	0	6	7	11	3	4	0	0	50	
2	1	0	0	0	0	8	0	4	0	0	0	4	0	0	4	0	1	196	0	1	4	22	2	5	1	0	25	
0	0	8	0	0	0	0	2	3	1	0	0	6	1	0	6	0	0	174	0	9	13	2	3	3	1	0	75	
0	2	5	0	0	0	10	0	5	0	0	0	0	6	0	2	0	0	223	0	0	2	19	3	4	1	0	6	
0	1	11	0	0	0	0	0	2	4	0	0	0	1	0	6	0	0	186	0	0	3	11	6	4	4	0	62	
0	0	12	0	0	0	6	0	5	0	0	0	0	0	0	7	0	0	212	0	7	6	9	3	2	0	1	50	
0	2	8	2	1	0	1	1	4	0	0	0	1	1	0	3	0	0	170	0	3	6	8	4	5	9	0	77	
0	3	21	0	0	0	1	0	0	0	0	0	2	1	0	5	0	0	192	0	6	1	0	7	5	5	0	82	
0	1	2	0	0	0	8	0	4	0	0	0	1	2	0	9	0	0	200	0	8	5	22	2	4	0	0	39	
